frame,total,Platinum,Black,Pineapple
1092,3,0,3,0
1093,3,0,3,0
1094,0,0,0,0
1095,0,0,0,0
1096,1,0,1,0
1097,1,0,1,0
1098,0,0,0,0
1099,0,0,0,0
1100,1,0,1,0
1101,1,0,1,0
1102,0,0,0,0
1103,0,0,0,0
1104,0,0,0,0
1105,0,0,0,0
1106,0,0,0,0
1107,0,0,0,0
1108,1,0,1,0
1109,1,0,1,0
1110,1,0,1,0
1111,1,0,1,0
1112,0,0,0,0
1113,0,0,0,0
1114,0,0,0,0
1115,0,0,0,0
1116,0,0,0,0
1117,0,0,0,0
1118,0,0,0,0
1119,0,0,0,0
1120,0,0,0,0
1121,0,0,0,0
1122,0,0,0,0
1123,0,0,0,0
1124,0,0,0,0
1125,0,0,0,0
1126,0,0,0,0
1127,0,0,0,0
1128,0,0,0,0
1129,0,0,0,0
1130,0,0,0,0
1131,0,0,0,0
1132,0,0,0,0
1133,0,0,0,0
1134,0,0,0,0
1135,0,0,0,0
1136,2,0,2,0
1137,2,0,2,0
1138,1,0,1,0
1139,1,0,1,0
1140,0,0,0,0
1141,0,0,0,0
1142,0,0,0,0
1143,0,0,0,0
1144,0,0,0,0
1145,0,0,0,0
1146,0,0,0,0
1147,0,0,0,0
1148,0,0,0,0
1149,0,0,0,0
1150,0,0,0,0
1151,0,0,0,0
1152,0,0,0,0
1153,0,0,0,0
1154,0,0,0,0
1155,0,0,0,0
1156,0,0,0,0
1157,0,0,0,0
1158,0,0,0,0
1159,0,0,0,0
1160,0,0,0,0
1161,0,0,0,0
1162,0,0,0,0
1163,0,0,0,0
1164,0,0,0,0
1165,0,0,0,0
1166,1,0,1,0
1167,1,0,1,0
1168,0,0,0,0
1169,0,0,0,0
1170,0,0,0,0
1171,0,0,0,0
1172,0,0,0,0
1173,0,0,0,0
1174,0,0,0,0
1175,0,0,0,0
1176,0,0,0,0
1177,0,0,0,0
1178,0,0,0,0
1179,0,0,0,0
1180,1,0,1,0
1181,1,0,1,0
1182,1,0,1,0
1183,1,0,1,0
1184,1,0,1,0
1185,1,0,1,0
1186,0,0,0,0
1187,0,0,0,0
1188,0,0,0,0
1189,0,0,0,0
1190,2,0,2,0
1191,2,0,2,0
1192,1,0,1,0
1193,1,0,1,0
1194,1,0,1,0
1195,1,0,1,0
1196,0,0,0,0
1197,0,0,0,0
1198,0,0,0,0
1199,0,0,0,0
1200,0,0,0,0
1201,0,0,0,0
1202,0,0,0,0
1203,0,0,0,0
1204,0,0,0,0
1205,0,0,0,0
1206,0,0,0,0
1207,0,0,0,0
1208,0,0,0,0
1209,0,0,0,0
1210,1,0,1,0
1211,1,0,1,0
1212,1,0,1,0
1213,1,0,1,0
1214,1,0,1,0
1215,1,0,1,0
1216,1,0,1,0
1217,1,0,1,0
1218,2,0,2,0
1219,2,0,2,0
1220,2,0,2,0
1221,2,0,2,0
1222,1,0,1,0
1223,1,0,1,0
1224,1,0,1,0
1225,1,0,1,0
1226,1,0,1,0
1227,1,0,1,0
1228,1,0,1,0
1229,1,0,1,0
1230,2,0,2,0
1231,2,0,2,0
1232,1,0,1,0
1233,1,0,1,0
1234,2,0,2,0
1235,2,0,2,0
1236,2,0,2,0
1237,2,0,2,0
1238,1,0,1,0
1239,1,0,1,0
1240,1,0,1,0
1241,1,0,1,0
1242,2,0,2,0
1243,2,0,2,0
1244,2,0,2,0
1245,2,0,2,0
1246,2,0,2,0
1247,2,0,2,0
1248,2,0,2,0
1249,2,0,2,0
1250,2,0,2,0
1251,2,0,2,0
1252,2,0,2,0
1253,2,0,2,0
1254,2,0,2,0
1255,2,0,2,0
1256,2,0,2,0
1257,2,0,2,0
1258,2,0,2,0
1259,2,0,2,0
1260,1,0,1,0
1261,1,0,1,0
1262,1,0,1,0
1263,1,0,1,0
1264,0,0,0,0
1265,0,0,0,0
1266,0,0,0,0
1267,0,0,0,0
1268,1,0,1,0
1269,1,0,1,0
1270,1,0,1,0
1271,1,0,1,0
1272,1,0,1,0
1273,1,0,1,0
1274,0,0,0,0
1275,0,0,0,0
1276,0,0,0,0
1277,0,0,0,0
1278,0,0,0,0
1279,0,0,0,0
1280,0,0,0,0
1281,0,0,0,0
1282,0,0,0,0
1283,0,0,0,0
1284,0,0,0,0
1285,0,0,0,0
1286,0,0,0,0
1287,0,0,0,0
1288,0,0,0,0
1289,0,0,0,0
1290,0,0,0,0
1291,0,0,0,0
1292,0,0,0,0
1293,0,0,0,0
1294,0,0,0,0
1295,0,0,0,0
1296,0,0,0,0
1297,0,0,0,0
1298,0,0,0,0
1299,0,0,0,0
1300,0,0,0,0
1301,0,0,0,0
1302,1,0,1,0
1303,1,0,1,0
1304,1,0,1,0
1305,1,0,1,0
1306,1,0,1,0
1307,1,0,1,0
1308,1,0,1,0
1309,1,0,1,0
1310,0,0,0,0
1311,0,0,0,0
1312,1,0,1,0
1313,1,0,1,0
1314,0,0,0,0
1315,0,0,0,0
1316,1,0,1,0
1317,1,0,1,0
1318,1,0,1,0
1319,1,0,1,0
1320,1,0,1,0
1321,1,0,1,0
1322,0,0,0,0
1323,0,0,0,0
1324,0,0,0,0
1325,0,0,0,0
1326,0,0,0,0
1327,0,0,0,0
1328,0,0,0,0
1329,0,0,0,0
1330,0,0,0,0
1331,0,0,0,0
1332,0,0,0,0
1333,0,0,0,0
1334,0,0,0,0
1335,0,0,0,0
1336,0,0,0,0
1337,0,0,0,0
1338,0,0,0,0
1339,0,0,0,0
1340,0,0,0,0
1341,0,0,0,0
1342,0,0,0,0
1343,0,0,0,0
1344,0,0,0,0
1345,0,0,0,0
1346,0,0,0,0
1347,0,0,0,0
1348,0,0,0,0
1349,0,0,0,0
1350,0,0,0,0
1351,0,0,0,0
